Abs,H,S,L,IndexHSL,Day,CPC
0.5672,0.8,0.142857143,0.818181818,0.821290463,0,0.1728
0.5672,0.771428571,0.107142857,0.727272727,0.789224193,0,0.1728
0.5672,0.771428571,0.142857143,0.757575758,0.770343792,0,0.1728
0.5672,0.828571429,0.142857143,0.757575758,0.829487687,0,0.1728
0.5672,0.742857143,0.142857143,0.787878788,0.738910868,0,0.1728
0.5672,0.857142857,0.214285714,0.727272727,0.853719442,0,0.1728
0.5672,0.885714286,0.142857143,0.757575758,0.893689979,0,0.1728
0.5672,0.8,0.142857143,0.787878788,0.801366576,0,0.1728
0.5672,0.771428571,0.107142857,0.848484848,0.784907956,0,0.1728
0.5672,0.857142857,0.142857143,0.757575758,0.872806308,0,0.1728
0.5672,0.828571429,0.107142857,0.787878788,0.850003069,0,0.1728
0.5672,0.8,0.142857143,0.757575758,0.813313654,0,0.1728
0.5672,0.8,0.178571429,0.818181818,0.803886009,0,0.1728
0.5672,0.828571429,0.107142857,0.878787879,0.849863566,0,0.1728
0.5672,0.714285714,0.142857143,0.818181818,0.717756561,0,0.1728
0.5672,0.942857143,0.107142857,0.787878788,0.949962892,0,0.1728
0.5672,0.828571429,0.142857143,0.787878788,0.842606595,0,0.1728
0.5672,0.8,0.214285714,0.757575758,0.806162706,0,0.1728
0.5672,0.742857143,0.142857143,0.757575758,0.74738431,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.792494155,0,0.1728
0.5672,0.857142857,0.142857143,0.757575758,0.861043374,0,0.1728
0.5672,0.742857143,0.071428571,0.878787879,0.759889402,0,0.1728
0.5672,0.771428571,0.142857143,0.878787879,0.768516297,0,0.1728
0.5672,0.742857143,0.142857143,0.848484848,0.736681603,0,0.1728
0.5672,0.8,0.142857143,0.848484848,0.817286713,0,0.1728
0.5672,0.742857143,0.107142857,0.848484848,0.762439525,0,0.1728
0.5672,0.742857143,0.142857143,0.787878788,0.752093947,0,0.1728
0.5672,0.8,0.142857143,0.757575758,0.800909005,0,0.1728
0.5672,0.771428571,0.107142857,0.818181818,0.787770567,0,0.1728
0.5672,0.8,0.071428571,0.818181818,0.821443917,0,0.1728
0.5672,0.742857143,0.107142857,0.818181818,0.760062386,0,0.1728
0.5672,0.8,0.142857143,0.757575758,0.817939589,0,0.1728
0.5672,0.857142857,0.142857143,0.696969697,0.873247139,0,0.1728
0.5672,0.8,0.142857143,0.818181818,0.811516849,0,0.1728
0.5672,0.857142857,0.142857143,0.787878788,0.852888001,0,0.1728
